Day Monday
CRN    Dept  Coursenum  Class Title                     Start Time  End Time  Room
61377  ITWS  4310-01    MANAGING_IT_RESOURCES           10:00AM     11:50AM   SAGE_2112  
63509  LANG  1410-01    CHINESE_I                       10:00AM     11:50AM   SAGE_2704  
63634  LANG  1410-02    CHINESE_I                       10:00AM     11:50AM   SAGE_2704  
64225  LANG  1410-03    CHINESE_I                       10:00AM     11:50AM   SAGE_2701  
64512  LANG  1410-04    CHINESE_I                       10:00AM     11:50AM   SAGE_2701  
62053  LGHT  4840-01    HUMAN_FACTORS_IN_LIGHTING       10:00AM     11:50AM   GURLEY_    
61459  MANE  4030-01    ELEMENTS_OF_MECH_DESIGN         10:00AM     11:50AM   SAGE_3510  
61462  MANE  4260-01    MULTIDISCIPLINARY_CAP_DESIGN    10:00AM     11:50AM   JONSSN_3332
61505  MANE  4350-01    INSTRUMENTATION_&_MEASUR        10:00AM     11:20AM   SAGE_4112  
64018  MANE  4710-01    HEAT_TRANSFER                   10:00AM     11:50AM   CARNEG_206 
62621  MANE  4850-01    SPACE_VEHICLE_DESIGN            10:00AM     11:50AM   VORHES_SO  
64556  MANE  6961-01    ADVANCED_HEAT_TRANSFER          10:00AM     11:50AM   CARNEG_206 
63486  MANE  6962-01    EXPERIMENTAL_MECHANICS          10:00AM     11:50AM   CARNEG_210 
63450  MATH  1010-33    CALCULUS_I                      10:00AM     11:20AM   WEST_AUD   
63451  MATH  1010-34    CALCULUS_I                      10:00AM     11:20AM   WEST_AUD   
63452  MATH  1010-35    CALCULUS_I                      10:00AM     11:20AM   WEST_AUD   
63453  MATH  1010-36    CALCULUS_I                      10:00AM     11:20AM   WEST_AUD   
63454  MATH  1010-37    CALCULUS_I                      10:00AM     11:20AM   WEST_AUD   
63456  MATH  1010-38    CALCULUS_I                      10:00AM     11:20AM   WEST_AUD   
63455  MATH  1010-39    CALCULUS_I                      10:00AM     11:20AM   WEST_AUD   
63457  MATH  1010-40    CALCULUS_I                      10:00AM     11:20AM   WEST_AUD   
61114  MATH  1020-05    CALCULUS_II                     10:00AM     10:50AM   EATON_216  
62720  MATH  2010-09    MULTIVAR_CALC_&_MATRIX_ALGEBRA  10:00AM     10:50AM   DARRIN_324 
62721  MATH  2010-10    MULTIVAR_CALC_&_MATRIX_ALGEBRA  10:00AM     10:50AM   DARRIN_324 
62722  MATH  2010-11    MULTIVAR_CALC_&_MATRIX_ALGEBRA  10:00AM     10:50AM   DARRIN_324 
62723  MATH  2010-12    MULTIVAR_CALC_&_MATRIX_ALGEBRA  10:00AM     10:50AM   DARRIN_324 
63661  MATH  4100-03    LINEAR_ALGEBRA                  10:00AM     11:50AM   LOW_3051   
65090  MATH  4100-04    LINEAR_ALGEBRA                  10:00AM     11:50AM   LOW_3051   
61138  MATH  4800-01    NUMERICAL_COMPUTING             10:00AM     11:50AM   DARRIN_337 
61554  MATH  6800-01    COMPUTATIONAL_LIN_ALGEBRA       10:00AM     11:50AM   LOW_3039   
61080  MGMT  2300-03    FINANCIAL_ACCOUNTING            10:00AM     11:50AM   CARNEG_106 
61081  MGMT  2320-01    MANAGERIAL_FINANCE              10:00AM     11:50AM   LOW_4040   
62533  MGMT  2510-02    INTRO_TO_DATA_MGMT_&_ANALYTICS  10:00AM     11:50AM   PITTS_4206 
61545  MGMT  4100-01    QUANTITATIVE_METHODS_FOR_BUS    10:00AM     11:50AM   VORHES_NO  
64004  MGMT  4460-01    CONSUMER_BEHAVIOR_AND_PROD_DSN  10:00AM     11:50AM   SAGE_2715  
61085  MGMT  4860-02    HR_IN_HIGH_PERFORMANCE_ORGS     10:00AM     11:50AM   PITTS_5114 
62971  MGMT  6410-01    INVESTMENTS                     10:00AM     11:30AM   PITTS_5216 
64388  MGMT  6800-01    CONSUMER_BEHAVIO/_PROD_DESIGN   10:00AM     11:50AM   SAGE_2715  
65078  MTLE  4250-01    MECH_PROPERTIES_OF_MATERIALS    10:00AM     11:50AM   CARNEG_208 
65155  MTLE  4250-02    MECH_PROPERTIES_OF_MATERIALS    10:00AM     11:50AM   CARNEG_208 
62980  MTLE  4920-01    MULTIDISCIPLINARY_CAP_DESIGN    10:00AM     11:50AM   JONSSN_3332
62555  MTLE  6250-01    ADVANCED_MECHANICAL_PROPERTIES  10:00AM     11:50AM   MATLS_136  
61369  PHIL  1110-01    INTRO_TO_PHILOSOPHY             10:00AM     11:50AM   CARNEG_201 
65031  PHIL  4240-01    ETHICS                          10:00AM     11:50AM   EATON_214  
61060  PHYS  1100-02    PHYSICS_I                       10:00AM     11:50AM   J-ROWL_2C06
62556  PHYS  1100-04    PHYSICS_I                       10:00AM     11:50AM   J-ROWL_2C30
61064  PHYS  1200-01    PHYSICS_II                      10:00AM     11:50AM   J-ROWL_2C22
61381  PHYS  1200-02    PHYSICS_II                      10:00AM     11:50AM   J-ROWL_2C14
64575  PHYS  1600-02    MATERIALS_SCIENCE               10:00AM     11:50AM   WALKER_6113
63491  PHYS  2350-01    EXPERIMENTAL_PHYSICS            10:00AM     11:50AM   J-ROWL_    
65035  PHYS  4964-01    PHOTONICS                       10:00AM     11:50AM   CARNEG_101 
61502  PSYC  1200-01    GENERAL_PSYCHOLOGY              10:00AM     11:50AM   DARRIN_308 
61409  PSYC  4110-01    MOTIVATION_&_PERFORMANCE        10:00AM     11:50AM   DARRIN_236 
64268  STSS  4963-01    RESILIENCE_PLANNING             10:00AM     11:50AM   SAGE_3705  
64695  STSS  4967-02    PD2_TECH_ISSUES_&_SOLUTIONS     10:00AM     11:50AM   JONSSN_4304
61185  USNA  1010-02    INTRODUCTION_TO_NAVAL_SCIENCE   10:00AM     11:50AM   ARMORY_209 
61189  USNA  2070-02    NAVAL_SHIPS_SYSTEMS_II          10:00AM     11:50AM   ARMORY_302 
64789  WRIT  2110-02    STRATEGIC_WRITING               10:00AM     11:50AM   DNASN_130  
65196  WRIT  2110-04    STRATEGIC_WRITING               10:00AM     11:50AM   DNASN_130  
61605  CHEM  1100-08    CHEMISTRY_I                     11:00AM     11:50AM   TBA        
61607  CHEM  1100-10    CHEMISTRY_I                     11:00AM     01:50PM   WALKER_5113
61116  MATH  1020-07    CALCULUS_II                     11:00AM     11:50AM   EATON_216  
61168  MATH  1020-13    CALCULUS_II                     11:00AM     11:50AM   DARRIN_324 
61169  MATH  1020-14    CALCULUS_II                     11:00AM     11:50AM   DARRIN_324 
61171  MATH  1020-15    CALCULUS_II                     11:00AM     11:50AM   DARRIN_324 
61170  MATH  1020-16    CALCULUS_II                     11:00AM     11:50AM   DARRIN_324 
61128  MATH  2400-05    INTRO_DIFFERENTIAL_EQUATIONS    11:00AM     11:50AM   RCKTTS_203 
61129  MATH  2400-06    INTRO_DIFFERENTIAL_EQUATIONS    11:00AM     11:50AM   RCKTTS_203 
61284  MATH  2400-07    INTRO_DIFFERENTIAL_EQUATIONS    11:00AM     11:50AM   RCKTTS_203 
61130  MATH  2400-08    INTRO_DIFFERENTIAL_EQUATIONS    11:00AM     11:50AM   RCKTTS_203 
65123  ARCH  4120-01    CLOUD_ATLAS:_20TH_CENTURY_ARCH  12:00PM     01:30PM   DARRIN_318 
64271  ARCH  4560-01    MATERIALS_AND_ENCLOSURES        12:00PM     01:50PM   RCKTTS_203 
64282  ARCH  4968-01    NATURE_&_ARCH                   12:00PM     01:50PM   VORHES_NO  
65326  ARCH  4971-01    INDEFINITE_FORM                 12:00PM     01:50PM   GREENE_204 
64285  ARCH  5340-01    MATERIALS_AND_ENCLOSURES        12:00PM     01:50PM   RCKTTS_203 
64005  ARTS  2210-01    SCULPTURE_I                     12:00PM     01:50PM   SAGE_1211  
64261  ARTS  2963-01    DESIGNING_MUSICAL_GAMES         12:00PM     01:50PM   SAGE_2411  
65223  ARTS  2966-01    SOUND_RECORDING_&_PRODUCTION    12:00PM     01:50PM   WEST_118   
65013  ARTS  4040-01    RETHINKING_DOCUMENTARY:_VIDEO   12:00PM     01:50PM   WEST_214   
65068  ARTS  4220-01    PAINTING                        12:00PM     01:50PM   WEST_411   
65069  ARTS  4220-02    PAINTING                        12:00PM     01:50PM   WEST_411   
65213  ARTS  6050-01    RETHINKING_DOCUMENTARY          12:00PM     01:50PM   WEST_214   
65070  ARTS  6220-01    PAINTING                        12:00PM     01:50PM   WEST_411   
63288  ASTR  2050-01    INTRO_ASTRONOMY_&_ASTROPHYS     12:00PM     01:50PM   LOW_3051   
65276  BIOL  1010-06    INTRODUCTION_TO_BIOLOGY         12:00PM     01:50PM   CARNEG_106 
63739  BIOL  2120-01    INTRODUCTION_TO_CELL_BIOLOGY    12:00PM     01:50PM   SAGE_5101  
63740  BIOL  2120-02    INTRODUCTION_TO_CELL_BIOLOGY    12:00PM     01:50PM   SAGE_5101  
64209  BIOL  2120-03    INTRODUCTION_TO_CELL_BIOLOGY    12:00PM     01:50PM   SAGE_5101  
65242  BIOL  2120-04    INTRODUCTION_TO_CELL_BIOLOGY    12:00PM     01:50PM   SAGE_5101  
61405  BIOL  6900-01    SEMINAR_IN_BIOLOGY              12:00PM     12:50PM   GREENE_120 
63647  BMED  2100-01    BIOMATERIALS_SCI_&_ENGINEERING  12:00PM     01:50PM   SAGE_3101  
63728  BMED  4260-01    BIOMEDICAL_PRODUCT_DEVELOPMENT  12:00PM     01:50PM   LALLY_104  
63729  BMED  4260-02    BIOMEDICAL_PRODUCT_DEVELOPMENT  12:00PM     01:50PM   LOW_3039   
64572  CHEM  1600-03    MATERIALS_SCIENCE               12:00PM     01:50PM   WALKER_6113
61389  CHEM  2250-01    ORGANIC_CHEMISTRY_I             12:00PM     01:50PM   SAGE_3303  
61103  CHEM  6910-01    CHEMISTRY_TEACHING_SEMINAR      12:00PM     12:50PM   WALKER_3222
61195  CHME  4500-01    CHEMICAL_REACTOR_DESIGN         12:00PM     01:50PM   DARRIN_330 
61308  CIVL  2630-01    INTRO_TO_GEOTECHNICAL_ENGR      12:00PM     01:50PM   JONSSN_1302
61307  CIVL  2670-01    INTRO_TO_STRUCTURAL_ENG         12:00PM     01:50PM   JONSSN_    
62828  CIVL  6170-01    MECHANICS_OF_SOLIDS             12:00PM     01:20PM   SAGE_2112  
61425  CIVL  6450-01    STRUCTURAL_DYNAMICS             12:00PM     01:50PM   EATON_216  
63668  COGS  4420-01    GAME_AI                         12:00PM     01:50PM   SAGE_4112  
65237  COGS  4967-01    HUMAN_PERF_MODELING_&_SUPPORT   12:00PM     01:20PM   CARNEG_210 
